กฟฟ.,ทะเบียน,จว.,รหัส,ยี่ห้อ,ลักษณะ/พิกัด,เลขเครื่อง,รุ่น/เลขชัชซี่,วันจดทะเบียน,อายุ,ประกันภัย,เชื้อเพลิง
กฟต.1,นข-2878 ,พบ.  ,ต.1-01-1880,TOYOTA              ,ตู้โดยสาร( 12-15 ที่นั่ง)                         ,5L-5262518,LH172-1031373 / HIACE,24/10/2545,15,ป.3,ดีเชล
กฟต.1,บค 3649 ,พบ.  ,ต.1-03-0556,NISSAN              ,กระบะบรรทุก 1 ตัน SPACE CAB                       ,TD27-048398,RGD21-B55114,6/12/2533,27,ป.3,ดีเชล
กฟต.1,บค 8226 ,พบ.  ,ต.1-03-0638,TOYOTA              ,กระบะบรรทุก 1 ตัน 2 ประตู                         ,1G-5930024,YN85-7000487 /HILUX,18/11/2535,25,ป.3,เบนชิล
กฟต.1,บง-976  ,พบ.  ,ต.1-03-0327,TOYOTA              ,กระบะบรรทุก 1 ตัน SPACE CAB                       ,27-0043414,RN40-133811,28/6/2526,34,ป.3,เบนชิล
กฟต.1,บท-8902 ,พบ.  ,ต.1-03-0751,NISSAN              ,กระบะบรรทุก 1 ตัน 2 ประตู                         ,716-T25877,CGD21-D13612,6/9/2536,24,ป.3,เบนชิล
กฟต.1,บบ-8442 ,พบ.  ,ต.1-04-3326,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-845193,NKR55EU1M-7135078 / NKR55EU1,27/7/2537,23,ป.3,ดีเชล
กฟต.1,บบ-9260 ,พบ.  ,ต.1-04-5981,TOYOTA              ,ตู้โดยสาร( 12-15 ที่นั่ง)                         ,2KD-5607083,JTFSS22P100099072 / KDH222R-LEMDYT,28/12/2554,6,ป.3/บ.1,ดีเชล
กฟต.1,บบ-9396 ,พบ.  ,ต.1-04-3512,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-922381,NKR55EU1M-7146833 / NKR55EU1,18/10/2537,23,ป.3,ดีเชล
กฟต.1,บบ-9397 ,พบ.  ,ต.1-04-3591,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-930399,NKR55EU1M-7148733 / NKR55EU1,17/11/2537,23,ป.3,ดีเชล
กฟต.1,บบ-9421 ,พบ.  ,ต.1-04-1333,TOYOTA              ,กระบะบรรทุก 2 ตัน                                 ,11B-1204553,BU20-077253,30/4/2524,36,ป.3,ดีเชล
กฟต.1,บบ-9425 ,พบ.  ,ต.1-04-2558,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-522698,NKR55EU1-7901154 /NKR55EU1W/SB,5/7/2535,25,ป.3,ดีเชล
กฟต.1,บบ-9477 ,พบ.  ,ต.1-04-2370,TOYOTA              ,กระบะบรรทุก 2 ตัน                                 ,11B-1041715,BU20-112890,20/12/2527,33,ป.3,ดีเชล
กฟต.1,บพ-1161 ,พบ.  ,ต.1-04-5721,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-942979,MP1NLR85E9T103528 / NLR85E1GAH,10/1/2554,6,ป.3,ดีเชล
กฟต.1,บพ-1225 ,พบ.  ,ต.1-04-3592,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-930428,NKR55EU1M-7148742 /NKR55EU1M,17/11/2537,23,ป.3,ดีเชล
,,,,,,,,,,,
กฟจ.พบ,1กฌ-5749,พบ.  ,ต.1-40-3897,YAMAHA              ,จักรยานยนต์ไฟฟ้า                                  ,201601038,MLESE651111627392 /Filano,23/7/2555,5,,น้ำมันหล่อลื่น อื่น ๆ
กฟจ.พบ,80-5279 ,พบ.  ,ต.1-09-0045,MITSUBISHI          ,เครนแข็ง                                          ,6DS7-207888,FK102F-51646 /FUSO,31/3/2525,35,,ดีเชล
กฟจ.พบ,80-5290 ,พบ.  ,ต.1-04-0628,ISUZU               ,บรรทุก 6 ตัน                                      ,DA120-836409,1664980,3/11/2520,40,ป.3,ดีเชล
กฟจ.พบ,80-5440 ,พบ.  ,ต.1-04-2204,HINO                ,บรรทุก 6 ตัน                                      ,EH100-98167,KR320-17366,15/3/2532,28,ป.3,ดีเชล
กฟจ.พบ,80-5559 ,พบ.  ,ต.1-04-1419,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,590298,221918,2/9/2525,35,ป.3,ดีเชล
กฟจ.พบ,80-5728 ,พบ.  ,ต.1-04-1981,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-367335,1697817,26/12/2526,34,ป.3,ดีเชล
